variable,label,distance_bin,distance_start_km,distance_end_km,distance_mean_km,n_pairs,spatial_autocorrelation
clara_radiance_hourly_mean,CLARA radiance,1,0.0,901.9937213825546,515.0510661829162,1083,0.9210480153992835
clara_radiance_hourly_mean,CLARA radiance,2,901.9937213825546,1803.987442765109,1201.2087089807667,1694,0.8243272576169883
clara_radiance_hourly_mean,CLARA radiance,3,1803.987442765109,2705.9811641476635,2115.492159709931,1526,0.6686185791645626
clara_radiance_hourly_mean,CLARA radiance,4,2705.9811641476635,3607.974885530218,3033.3384182597306,1322,0.49922896749766493
clara_radiance_hourly_mean,CLARA radiance,5,3607.974885530218,4509.968606912773,3950.4810682698717,1124,0.30288250005267997
clara_radiance_hourly_mean,CLARA radiance,6,4509.968606912773,5411.962328295327,4867.039162655121,932,0.13888719982706965
clara_radiance_hourly_mean,CLARA radiance,7,5411.962328295327,6313.956049677882,5784.053376310686,762,0.05083391907486235
clara_radiance_hourly_mean,CLARA radiance,8,6313.956049677882,7215.949771060436,6704.564317751114,603,0.05548538829023658
clara_radiance_hourly_mean,CLARA radiance,9,7215.949771060436,8117.943492442991,7629.207724215055,459,0.04865521734098105
clara_radiance_hourly_mean,CLARA radiance,10,8117.943492442991,9019.937213825546,8566.468055533569,320,0.0008170194856037854
clara_radiance_hourly_mean,CLARA radiance,11,9019.937213825546,9921.9309352081,9507.771715950392,188,-0.09575206717872027
clara_radiance_hourly_mean,CLARA radiance,12,9921.9309352081,10823.92466741458,10418.133901698027,69,-0.05272077116630692
era5_tcc,Total cloud cover,1,0.0,901.9937213825546,515.0510661829162,1083,0.44024221566853144
era5_tcc,Total cloud cover,2,901.9937213825546,1803.987442765109,1201.2087089807667,1694,0.18597487836372145
era5_tcc,Total cloud cover,3,1803.987442765109,2705.9811641476635,2115.492159709931,1526,0.043007157425010586
era5_tcc,Total cloud cover,4,2705.9811641476635,3607.974885530218,3033.3384182597306,1322,-0.009735954025983175
era5_tcc,Total cloud cover,5,3607.974885530218,4509.968606912773,3950.4810682698717,1124,-0.13065341006764655
era5_tcc,Total cloud cover,6,4509.968606912773,5411.962328295327,4867.039162655121,932,-0.15079742732904933
era5_tcc,Total cloud cover,7,5411.962328295327,6313.956049677882,5784.053376310686,762,-0.060746561993818546
era5_tcc,Total cloud cover,8,6313.956049677882,7215.949771060436,6704.564317751114,603,-0.05291600325475078
era5_tcc,Total cloud cover,9,7215.949771060436,8117.943492442991,7629.207724215055,459,0.017549752402797915
era5_tcc,Total cloud cover,10,8117.943492442991,9019.937213825546,8566.468055533569,320,0.041436815236070804
era5_tcc,Total cloud cover,11,9019.937213825546,9921.9309352081,9507.771715950392,188,0.14938094326800663
era5_tcc,Total cloud cover,12,9921.9309352081,10823.92466741458,10418.133901698027,69,-0.04883332050363031
era5_lcc,Low cloud cover,1,0.0,901.9937213825546,515.0510661829162,1083,0.46700961162812243
era5_lcc,Low cloud cover,2,901.9937213825546,1803.987442765109,1201.2087089807667,1694,0.3166484523549549
era5_lcc,Low cloud cover,3,1803.987442765109,2705.9811641476635,2115.492159709931,1526,0.17635023583203271
era5_lcc,Low cloud cover,4,2705.9811641476635,3607.974885530218,3033.3384182597306,1322,0.058361642631924296
era5_lcc,Low cloud cover,5,3607.974885530218,4509.968606912773,3950.4810682698717,1124,0.058804261950056815
era5_lcc,Low cloud cover,6,4509.968606912773,5411.962328295327,4867.039162655121,932,-0.009131751154760611
era5_lcc,Low cloud cover,7,5411.962328295327,6313.956049677882,5784.053376310686,762,0.05424454377614349
era5_lcc,Low cloud cover,8,6313.956049677882,7215.949771060436,6704.564317751114,603,0.020990056323604865
era5_lcc,Low cloud cover,9,7215.949771060436,8117.943492442991,7629.207724215055,459,-0.0693237507306387
era5_lcc,Low cloud cover,10,8117.943492442991,9019.937213825546,8566.468055533569,320,-0.05091798701943001
era5_lcc,Low cloud cover,11,9019.937213825546,9921.9309352081,9507.771715950392,188,-0.051243632234668254
era5_lcc,Low cloud cover,12,9921.9309352081,10823.92466741458,10418.133901698027,69,-0.04234545764586919
era5_mcc,Medium cloud cover,1,0.0,901.9937213825546,515.0510661829162,1083,0.2991360597818271
era5_mcc,Medium cloud cover,2,901.9937213825546,1803.987442765109,1201.2087089807667,1694,0.10288840385685205
era5_mcc,Medium cloud cover,3,1803.987442765109,2705.9811641476635,2115.492159709931,1526,0.029939060808284748
era5_mcc,Medium cloud cover,4,2705.9811641476635,3607.974885530218,3033.3384182597306,1322,0.05906496370032217
era5_mcc,Medium cloud cover,5,3607.974885530218,4509.968606912773,3950.4810682698717,1124,0.04957143027840616
era5_mcc,Medium cloud cover,6,4509.968606912773,5411.962328295327,4867.039162655121,932,-0.04141527616552123
era5_mcc,Medium cloud cover,7,5411.962328295327,6313.956049677882,5784.053376310686,762,-0.0035529124412785325
era5_mcc,Medium cloud cover,8,6313.956049677882,7215.949771060436,6704.564317751114,603,0.018180931456154587
era5_mcc,Medium cloud cover,9,7215.949771060436,8117.943492442991,7629.207724215055,459,0.05737973128696552
era5_mcc,Medium cloud cover,10,8117.943492442991,9019.937213825546,8566.468055533569,320,-0.011379525262722102
era5_mcc,Medium cloud cover,11,9019.937213825546,9921.9309352081,9507.771715950392,188,0.08963465665892265
era5_mcc,Medium cloud cover,12,9921.9309352081,10823.92466741458,10418.133901698027,69,0.04325418865730683
era5_hcc,High cloud cover,1,0.0,901.9937213825546,515.0510661829162,1083,0.38066419572547106
era5_hcc,High cloud cover,2,901.9937213825546,1803.987442765109,1201.2087089807667,1694,0.12111210695583793
era5_hcc,High cloud cover,3,1803.987442765109,2705.9811641476635,2115.492159709931,1526,0.002525672471911429
era5_hcc,High cloud cover,4,2705.9811641476635,3607.974885530218,3033.3384182597306,1322,-0.004263045448783496
era5_hcc,High cloud cover,5,3607.974885530218,4509.968606912773,3950.4810682698717,1124,-0.08365081931783079
era5_hcc,High cloud cover,6,4509.968606912773,5411.962328295327,4867.039162655121,932,-0.04999687223435387
era5_hcc,High cloud cover,7,5411.962328295327,6313.956049677882,5784.053376310686,762,-0.06050485260262471
era5_hcc,High cloud cover,8,6313.956049677882,7215.949771060436,6704.564317751114,603,-0.12806265231295663
era5_hcc,High cloud cover,9,7215.949771060436,8117.943492442991,7629.207724215055,459,-0.058764464225850084
era5_hcc,High cloud cover,10,8117.943492442991,9019.937213825546,8566.468055533569,320,-0.04477868335713708
era5_hcc,High cloud cover,11,9019.937213825546,9921.9309352081,9507.771715950392,188,-0.02714259420775441
era5_hcc,High cloud cover,12,9921.9309352081,10823.92466741458,10418.133901698027,69,0.04642804721053901
era5_cloud_layer_sum,Cloud layer sum,1,0.0,901.9937213825546,515.0510661829162,1083,0.42208559213581787
era5_cloud_layer_sum,Cloud layer sum,2,901.9937213825546,1803.987442765109,1201.2087089807667,1694,0.1547598874546316
